Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.35075,1.35075,1.35075,1.35075,1.35075,1.35075,1.35075,1.35075,1.35075,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,-1,22746.7,22746.7,22746.7,22746.7,22746.7,22746.7,22746.7,22746.7,22746.7,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,-1,11702.9,11702.9,11702.9,11702.9,11702.9,11702.9,11702.9,11702.9,11702.9,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.2576,1.2576,1.2576,1.2576,1.2576,1.2576,1.2576,1.2576,1.2576,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,1,22798.6,22798.6,22798.6,22798.6,22798.6,22798.6,22798.6,22798.6,22798.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,1,11770.1,11770.1,11770.1,11770.1,11770.1,11770.1,11770.1,11770.1,11770.1,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.29565,1.29565,1.29565,1.29565,1.29565,1.29565,1.29565,1.29565,1.29565,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,-2,21948.3,21948.3,21948.3,21948.3,21948.3,21948.3,21948.3,21948.3,21948.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,-2,11021.4,11021.4,11021.4,11021.4,11021.4,11021.4,11021.4,11021.4,11021.4,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.35723,1.35723,1.35723,1.35723,1.35723,1.35723,1.35723,1.35723,1.35723,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,2,22996.6,22996.6,22996.6,22996.6,22996.6,22996.6,22996.6,22996.6,22996.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,2,11853.3,11853.3,11853.3,11853.3,11853.3,11853.3,11853.3,11853.3,11853.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.28627,1.28627,1.28627,1.28627,1.28627,1.28627,1.28627,1.28627,1.28627,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,-2,22456.7,22456.7,22456.7,22456.7,22456.7,22456.7,22456.7,22456.7,22456.7,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,-2,11466.8,11466.8,11466.8,11466.8,11466.8,11466.8,11466.8,11466.8,11466.8,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.30209,1.30209,1.30209,1.30209,1.30209,1.30209,1.30209,1.30209,1.30209,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,2,22610.5,22610.5,22610.5,22610.5,22610.5,22610.5,22610.5,22610.5,22610.5,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,2,11263.4,11263.4,11263.4,11263.4,11263.4,11263.4,11263.4,11263.4,11263.4,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.32525,1.32525,1.32525,1.32525,1.32525,1.32525,1.32525,1.32525,1.32525,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,-2,23068,23068,23068,23068,23068,23068,23068,23068,23068,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,-2,11657.2,11657.2,11657.2,11657.2,11657.2,11657.2,11657.2,11657.2,11657.2,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.29692,1.29692,1.29692,1.29692,1.29692,1.29692,1.29692,1.29692,1.29692,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,2,23149.3,23149.3,23149.3,23149.3,23149.3,23149.3,23149.3,23149.3,23149.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,2,11833.5,11833.5,11833.5,11833.5,11833.5,11833.5,11833.5,11833.5,11833.5,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.2864,1.2864,1.2864,1.2864,1.2864,1.2864,1.2864,1.2864,1.2864,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,-4,22336.9,22336.9,22336.9,22336.9,22336.9,22336.9,22336.9,22336.9,22336.9,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,-4,11769.3,11769.3,11769.3,11769.3,11769.3,11769.3,11769.3,11769.3,11769.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.27123,1.27123,1.27123,1.27123,1.27123,1.27123,1.27123,1.27123,1.27123,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,4,23127.2,23127.2,23127.2,23127.2,23127.2,23127.2,23127.2,23127.2,23127.2,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,4,11761.4,11761.4,11761.4,11761.4,11761.4,11761.4,11761.4,11761.4,11761.4,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.28243,1.28243,1.28243,1.28243,1.28243,1.28243,1.28243,1.28243,1.28243,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,-4,22804.3,22804.3,22804.3,22804.3,22804.3,22804.3,22804.3,22804.3,22804.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,-4,11198.4,11198.4,11198.4,11198.4,11198.4,11198.4,11198.4,11198.4,11198.4,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.30011,1.30011,1.30011,1.30011,1.30011,1.30011,1.30011,1.30011,1.30011,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,4,21952.6,21952.6,21952.6,21952.6,21952.6,21952.6,21952.6,21952.6,21952.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,4,11831.8,11831.8,11831.8,11831.8,11831.8,11831.8,11831.8,11831.8,11831.8,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.31002,1.31002,1.31002,1.31002,1.31002,1.31002,1.31002,1.31002,1.31002,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,-4,22313.5,22313.5,22313.5,22313.5,22313.5,22313.5,22313.5,22313.5,22313.5,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,-4,10172.5,10172.5,10172.5,10172.5,10172.5,10172.5,10172.5,10172.5,10172.5,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.33031,1.33031,1.33031,1.33031,1.33031,1.33031,1.33031,1.33031,1.33031,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,4,22747.3,22747.3,22747.3,22747.3,22747.3,22747.3,22747.3,22747.3,22747.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,4,11711.6,11711.6,11711.6,11711.6,11711.6,11711.6,11711.6,11711.6,11711.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.30051,1.30051,1.30051,1.30051,1.30051,1.30051,1.30051,1.30051,1.30051,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,-8,16403.2,16403.2,16403.2,16403.2,16403.2,16403.2,16403.2,16403.2,16403.2,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,-8,10639.6,10639.6,10639.6,10639.6,10639.6,10639.6,10639.6,10639.6,10639.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.29879,1.29879,1.29879,1.29879,1.29879,1.29879,1.29879,1.29879,1.29879,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,8,22909.1,22909.1,22909.1,22909.1,22909.1,22909.1,22909.1,22909.1,22909.1,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,8,11835.2,11835.2,11835.2,11835.2,11835.2,11835.2,11835.2,11835.2,11835.2,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.27824,1.27824,1.27824,1.27824,1.27824,1.27824,1.27824,1.27824,1.27824,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,-8,23208.6,23208.6,23208.6,23208.6,23208.6,23208.6,23208.6,23208.6,23208.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,-8,12088.1,12088.1,12088.1,12088.1,12088.1,12088.1,12088.1,12088.1,12088.1,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.26749,1.26749,1.26749,1.26749,1.26749,1.26749,1.26749,1.26749,1.26749,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,8,22748.3,22748.3,22748.3,22748.3,22748.3,22748.3,22748.3,22748.3,22748.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,8,11700.6,11700.6,11700.6,11700.6,11700.6,11700.6,11700.6,11700.6,11700.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.28791,1.28791,1.28791,1.28791,1.28791,1.28791,1.28791,1.28791,1.28791,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,-8,24344,24344,24344,24344,24344,24344,24344,24344,24344,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,-8,11652.6,11652.6,11652.6,11652.6,11652.6,11652.6,11652.6,11652.6,11652.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.23159,1.23159,1.23159,1.23159,1.23159,1.23159,1.23159,1.23159,1.23159,ns/access,0,0,N/A,,
Test #1T (Throughput),1,4,1,1,0,0,SEQUENTIAL,READ,32,8,22282.1,22282.1,22282.1,22282.1,22282.1,22282.1,22282.1,22282.1,22282.1,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #2T (Throughput),1,4,1,1,0,0,SEQUENTIAL,WRITE,32,8,11355.5,11355.5,11355.5,11355.5,11355.5,11355.5,11355.5,11355.5,11355.5,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,,
Test #1L (Latency),1,4,1,0,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1.31902,1.31902,1.31902,1.31902,1.31902,1.31902,1.31902,1.31902,1.31902,ns/access,0,0,N/A,,
